COUNTRYCODE,IIN,CLASSIC_PLATINUM, CONS_CORP_BIN,INTERCHANGE_RATE,INTERCHANGE_PERCENT_RATE,INTERCHANGE_FLAT_RATE,ISSUING_BANK,CARD_SCHEME_BIN,CRED_DEB_BIN,KEY,$COST
US,534399,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,RIZAL COMMERCIAL BANKING ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,535298,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,WIRECARD CARD SOLUTIONS LIMITED ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,535522,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,MONZO BANK LIMITED ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,549632,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,TULAN BEST MARKETING COMPANY ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,536365,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,WING (CAMBODIA) LIMITED SPECIALISED BANK,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,535522,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,MONZO BANK LIMITED,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,535298,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,WIRECARD CARD SOLUTIONS LIMITED,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,534399,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,RIZAL COMMERCIAL BANKING,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,515819,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,"OPEN JOINT-STOCK SOCIETY ""AZER-TURK BANK""",MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,535612,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,ING FRANCE,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,549632,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,TULAN BEST MARKETING COMPANY,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,521061,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,OTP BANK PLC,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,517560,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,BC CARD CO. LTD.,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,535533,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,JSC SEB BANKA,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,535476,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,POSTE ITALIANE,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,463833,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Steward Bank Limited ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,535584,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,N26 GMBH ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,404632,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Ravnaq-bank Private Joint Stock Commercial Bank ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,400221,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Bank of China Limited ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,488248,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Asociacion Gremial de Instituciones Financieras - Credibanco ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,407576,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Trade & Development Bank of Mongolia,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,489504,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Banco de Oro UniBank Inc.,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
